id	name	rarity	loc	level	path	F	A	W	E	S	D	N	G	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	scorch	evil	scryrange	addtolimitedrecruitment	ageratereduction	dragonlord	corpselord	ivylord	maximizeorder	end
1089	Pool of Sanctity	1	0	2	Holy			1																																																											5%																																							95																				
1090	Hidden Monastery	1	0	3	Holy													-5																																																																		240																						96																				
1091	Monastery of Light	2	0	0	Holy													-5																																																																		240	241																					96																				
1092	Convent	1	0	1	Holy													-5																																																																		2248	2249																					96																				
1093	Abbey	2	0	1	Holy													-5																																																																		2248	2249	2250																				96																				
1094	Temple of Time	2	0	4	Holy					2																																																																										240	241																					95																				
1095	The Marble Temple	1	0	2	Holy										75			-5																																																																		241																						91																				
1096	The Empty Grave	1	0	3	Holy						1							-5																																																																																								97																				
1097	The Forgotten Crypt	1	0	3	Holy			1	1				1					-5																																																																																								97																				
1098	The Ward	2	0	4	Holy													-10																																																	30%																																							95																				
1099	The Records of Mankind	2	0	3	Holy																																																																															479					999																	92																				
1100	Order of the Secret Light	2	0	1	Holy					1																																																																					22					478	23					22																95																				
1101	Order of the Undying	2	0	1	Holy																																																																																																					96																				
1102	Shrine of the Outcast	1	0	1	Holy																																																																																																					93																				
1103	Temple of the Spider God	2	0	1	Holy																																																																																																					94	76	889	890																	
1104	Temple of the Hidden Flame	2	0	2	Holy	1																																																																																																				93																				
1105	Temple of Flying Monkeys	2	0	1	Holy																																																																																																					92																				
1106	The Martyr's Grave	2	0	1	Holy																			1																																																																																		97																				
1107	Cradle of Faith	2	0	1	Holy																			2																																																																																		95																				
1108	Pillar of Life	2	0	1	Holy																																																															10%																																						95																				
1109	The Prophet's Sigil	2	0	1	Holy																																																																																				5																	95																				
1110	Oracle's Lair	2	0	1	Holy																																																																																				3																	97																				
1111	Mountain of Revelation	2	0	1	Holy																																																																1																				0																	96																				
1112	Place of Prophecy	2	0	1	Holy																																																																																				5																	96																				
1113	Stele of Law	2	0	1	Holy													-10																																																																																								94																				
1114	Temple of Life and Death	2	0	1	Holy						1	1																																																																																														92																				
1115	Garden of Longevity	2	0	2	Holy																																																										7%																																											96																				
1116	The Holy Crypt of Anre	5	0	0	Holy	1	1					1						-10																																																																																								97	61	366																		
1117	Knightly Order	5	0	0	Holy																																																																										22					23						22																99																				
1118	Gorge of Glowing Fish	0	0	1	Fire	1																																																																																																				7																				
1119	Glowing Sands	0	0	1	Fire	1																																																																																																				5																				
1120	Sparkling Current	0	0	1	Fire	1																																																																																																				5																				
1121	Crust of Molten Sulphur	0	0	1	Fire	1																																																																																																				5																				
1122	Underwater Volcano	0	0	1	Fire	1																																																																																																				1																				
1123	Smoldering Starfish Colony	0	0	1	Fire	1																																																																																																				5																				
1124	Pond of Lava	1	0	1	Fire	1																																																																																																				5																				
1125	Steaming Stone	1	0	1	Fire	1	1																																																																																																			5																				
1126	Boiling Current	1	0	1	Fire	1	1																																																																																																			5																				
1127	Fire Rift	1	0	1	Fire	2																																																																																																				5																				
1128	Magma River	2	0	1	Fire	3																																																																																																				5																				
1129	Thermal Vent	0	0	1	Fire	1																																																																																																				5																				
1130	Underwater Cave	1	0	1	Air		1																																																																																																			16																				
1131	Imprisoned Zephyr	2	0	3	Air		2																																																																																																			16																				
1132	Pocket of Air	2	0	1	Air		2																																																																																																			16																				
1133	Diamond Corals	2	0	2	Air		2																																																																																																			16																				
1134	Floating Rock	0	0	1	Air		1																																																																																																			12																				
1135	Bubbling Fissure	0	0	1	Air		1																																																																																																			16																				
1136	Foaming Waves	1	0	1	Air		1																																																																																																			16																				
1137	Island of Floating Stone	1	0	1	Air		1		1																																																																																																	9																				
1138	Scoriatic Cliffs	2	0	1	Air		1																																																																																																			16																				
1139	Coral Reef	0	0	0	Water			1								40																																																																																										27																				
1140	Clam Field	0	0	1	Water					1					50																																																																																											27																				
1141	Coral Statue	1	0	1	Water			1																																																																																																		27																				
1142	Sunken Island	2	0	2	Water			2	2																																																																																																	26																				
1143	Man'o'War Breeding Ground	2	0	2	Water			2																																																																																																		27																				
1144	Sunken Tower	1	0	2	Water			1																																																																																																		22																				
1145	Troll Pit	2	0	2	Water																																																																										564																											25																				
1146	Shrine of the Shark Lords	2	0	0	Water																																																																										545																											24																				
1147	Tower of Pearls	2	0	3	Water			1		2																																																																					545					103																						24																				
1148	Isle of Ice	1	0	1	Water			3																																																																																																		26																				
1149	Academy Underneath	1	0	1	Water			2												lab	6																					W	1																																				577					103	529																					24																				
1150	The Hippocampoi Fields	2	0	2	Water			1				1																																																																																														19																				
1151	Sentient Current	2	0	2	Water			1																																																20%																																																		27																				
1152	Kraken Pit	2	0	2	Water																																																																																																					25																				
1153	Cold Currents	0	0	0	Water			1																																																																																																		27																				
1154	Depths Unnamed	0	0	1	Water			2																																																																																																		27																				
1155	Whispering Waters	1	0	1	Water			1																																																																																																		19																				
1156	Glowing Depths	1	0	1	Water	1		1																																																																																																		25																				
1157	Falling Depths	1	0	1	Water			2																																																																																																		27																				
1158	Dark Waters	1	0	1	Water			1			1																																																																																															27																				
1159	The Darkness	2	0	2	Water			1	1																																																				20%																																													25																				
1160	The Gate in the Deep	2	0	2	Water			2																																																20%																																																		25																				
1161	Cavern of Underwater Ice	0	0	1	Water			1																																																																																																		25																				
1162	Charmed Current	0	0	1	Water			1																																																																																																		25																				
1163	Sweet Water Current	0	0	1	Water			1																																																																																																		25																				
1164	Frozen Deeps	0	0	1	Water			1																																																																																																		25																				
1165	Tears of the Ancients	1	0	2	Water			1		1																																																																																																25																				
1166	Ridge of Ice	0	0	1	Water			1																																																																																																		25																				
1167	Fathoms Deep	0	0	1	Water			1																																																																																																		25																				
1168	Maelstrom	1	0	1	Water			2																																																																																																		25																				
1169	The Sunken Observatory	2	0	3	Water			2		1																																																																																																18																				
1170	Underwater Cliff	0	0	1	Earth				1																																																																																																	40																				
1171	Moving Sand Banks	0	0	1	Earth				1																																																																																																	39																				
1172	Basalt Statue	1	0	2	Earth				2																																																																																																	40																				
1173	Isle of the Sea Fathers	1	0	2	Earth			2																																																																												529																						36																				
1174	Basalt Halls	2	0	2	Earth				3																																																																																																	40																				
1175	City of Stones	1	0	2	Earth				4																																																																																																	40																				
1176	Caves in the Deep	0	0	0	Earth				1																																																																																																	35																				
1177	Copper Clams	1	0	1	Earth				1																																																																																																	39																				
1178	Mineral Fingers	1	0	1	Earth				2																																																																																																	31																				
1179	Plateau of Shards	1	0	1	Earth				2																																																																																																	39																				
1180	Long Lost Circle	2	0	2	Earth				1	1																																																																																																28																				
1181	The Basalt Forge	2	0	2	Earth				1																																																		20%																																															28																				
1182	Rock Crab Colony	0	0	1	Earth				1																																																																																																	39																				
1183	Underwater Stalagmite	0	0	1	Earth				1																																																																																																	40																				
1184	Ridge of Volcanic Glass	0	0	1	Earth				1						50																																																																																											40																				
1185	Meteorite Rock	0	0	1	Earth				1																																																																																																	40																				
1186	Basalt Plateau	0	0	1	Earth				1																																																																																																	40																				
1187	Mountain Underneath	1	0	1	Earth				1																																																																																																	40																				
1188	Fossilized Conch	1	0	1	Earth				1																																																																																																	39																				
1189	Forgotten Crevasse	1	0	2	Earth				1																																																																																																	39																				
1190	Glowing Kelp Forest	0	0	0	Nature							1																																																																																														67																				
1191	Kelp Fortress	0	0	1	Nature							1									6																																																																																					66																				
1192	Amber Beach Island	2	0	1	Nature				1			1			75																																																																																											64																				
1193	Floating Forest	2	0	1	Nature							2																																																																																														67																				
1194	Kelp Grove	0	0	2	Nature							1																																																																																														67																				
1195	Coral Garden	1	0	1	Nature							1																																																																																														66																				
1196	Sea Oak	1	0	2	Nature		1					2																																																																																														66																				
1197	The Amber Halls	2	0	2	Nature	1						2																																																																			573					575	576																					67																				
1198	The Forest Beneath the Waves	2	0	2	Nature							2																																																																																														67																				
1199	Kelp Sea	2	0	0	Nature			1				2																																																																																														67																				
1200	Forest of Amber Kelp	2	0	2	Nature	1		1				1																																																																								575																						67																				
1201	Fields of Glowing Algae	0	0	1	Nature							1																																																																																														66																				
1202	Giant Anemone	0	0	1	Nature							1																																																																																														66																				
1203	Ridge of Empty Shells	0	0	1	Nature							1																																																																																														66																				
1204	Wall of Living Kelp	0	0	1	Nature							1																																																																																														67																				
1205	Monstrous Conch	0	0	1	Nature							1																																																																																														66																				
1206	Living Sediment	0	0	1	Nature							1																																																																																														66																				
1207	Lair of the Eel-King	1	0	1	Nature							1																																																																																														67																				
1208	Breeding Ground of Eels	1	0	1	Nature							1																																																																																														66																				
1209	Sunken Galley	0	0	1	Death						1																																																																																															56																				
1210	Reef of Sunken Ships	1	0	1	Death						2																																																																																															56																				
1211	Dying Ground of the Whales	1	0	2	Death			2			1	1																																																																																														56																				
1212	Isle of Death	1	0	1	Death						3																																																																																															55																				
1213	Dark Depths	1	0	1	Death			1			1																																																																																															54																				
1214	Ghoul Fish Cave	1	0	1	Death			1			1																																																																																															54																				
1215	The Wasted Sea	1	0	0	Death						2																																																																																															56																				
1216	The Sea of Dead Memories	1	0	1	Death			1			1		1																																																																																													56																				
1217	Black Sands	0	0	1	Death						1																																																																																															49																				
1218	Basalt Ruins	0	0	1	Death						1																																																																																															51																				
1219	Submerged Catacombs	0	0	1	Death						1																																																																																															54																				
1220	Stale Current	0	0	1	Death						1																																																																																															54																				
1221	Black Coral Reef	0	0	1	Death						1																																																																																															56																				
1222	Field of Undead Clams	1	0	1	Death						1																																																																																															56																				
1223	Halls of the Drowned	1	0	1	Death						1																																																																																															47																				
1224	Sunken Ship of Dread	2	0	2	Death						1																																																																																															56																				
1225	Pearl Stairway	2	0	1	Astral					1																																																																																																42																				
1226	Arcane Gateway	2	0	3	Astral					1																																														20%																																																		45																				
1227	The Water Solstice	2	0	2	Astral			4		2																																																		40%																																														42																				
1228	Basalt Pillars	1	0	1	Astral					1																																																																																																42																				
1229	Labyrinth of the Deeps	2	0	2	Astral					3																																																																																																42																				
1230	Gorge of Mystery	2	0	2	Astral					1																																															20%																																																	47																				
1231	The Crater	1	0	3	Astral					2																																																																					331					445																						42																				
1232	The Last Void	2	0	3	Astral					2																																																			30%																																													42																				
1233	The Iron Caverns	1	0	2	Astral			1	1	1																																																																																																47																				
1234	Submerged Labyrinth	0	0	1	Astral					1																																																																																																47																				
1235	Displaced Tunnel	0	0	1	Astral					1																																																																																																47																				
1236	Arcane Vent	0	0	1	Astral					1																																																																																																47																				
1237	Shimmering Conches	0	0	1	Astral					1																																																																																																41																				
1238	Pearl Farm	0	0	1	Astral					1																																																																																																41																				
1239	Eye Pebble Plain	1	0	1	Astral					1																																																																																																41																				
1240	Abyss to the Beyond	1	0	2	Astral					2																																																																																																42																				
1241	Blasphemous Presence	1	0	1	Astral					1																																																																																																42																				
1242	Enchanted Current	1	0	1	Astral					2																																																																																																42																				
1243	Shimmerfish Reef	0	0	1	Glamour								1																																																																																													80																				
1244	Dream Kelp	0	0	1	Glamour								1																																																																																													81																				
1245	Singing Sands	1	0	1	Glamour				1				1																																																																																													68																				
1246	Lingering Corpusants	1	0	1	Glamour								1																																																																																													68																				
1247	Slumbering Seaweeds	1	0	2	Glamour							1	1																																																																																													81																				
1248	Witchfire Fog	0	0	2	Glamour		1						1																																																																																													68																				
1249	Drowned Dreams	2	0	2	Glamour						1		1																																																																																													68																				
1250	Isle of the Unaging	2	0	2	Glamour			1					1																																																																																													68																				
1251	Siren Cliffs	2	0	2	Glamour			1					1																																																																							1054																						80																				
1252	Faces Beneath the Waves	2	0	2	Glamour					1			1																																																					1%																																								68																				
1253	Whale Song Forest	1	0	1	Glamour							1	1																																																																																													81																				
1254	Pearl Sphere	1	0	1	Glamour					1			1																																																								1																																					81																				
1255	Dreamlands	2	0	3	Glamour								3																																																																																													80																				
1256	Ancient Temple of the Deeps	0	0	1	Holy			1		1																																																																																																95																				
1257	Knightly Order of the Deep	5	0	0	Holy																																																																										1060					406						1060																95																				
1258	Shambler Reef	0	0	0	Water																																																																										206																											19																				
1259	Navigators Guild	2	0	0	Water			2																																																																												869																						24																				
1260	Wailwind Shores	1	0	1	Air		1						1																																																																																													12																				
1261	Rain Forest	5	0	0	Nature																																																																																																					57																				
1262	Tundra	5	0	0	Water																																																																																																					18																				
1263	Desert	5	0	0	Fire																																																																																																					2																				
1264	Oasis	0	0	1	Water			1									75																																																																																									18																				
1265	Great Oasis	2	0	1	Water			1				1					125																																																																																									18																				
1266	Date Oasis	1	0	1	Nature							1			40		75																																																																																									56																				
1267	City of Dates	2	0	0	Nature			1				1			75		250				1																																																																																					56																				
1268	Oasis of Verdant Greenery	2	0	3	Nature			1				2					150																																																																																									56																				
1269	Chitterpalm Oasis	0	0	1	Water			1									75																																																														1116																											18																				
1270	Cavern of Flames	1	0	0	Fire	1																																																																																																				7																				
1271	Underground Lake	1	0	0	Water			1																																																																																																		25																				
1272	Air Shaft	1	0	0	Air		1																																																																																																			16																				
1273	Basalt Wall	1	0	0	Earth				1																																																																																																	35																				
1274	Painted Cavern	1	0	0	Astral					1																																																																																																47																				
1275	Bone Filled Cave	1	0	0	Death						1																																																																																															54																				
1276	Mushroom Forest	1	0	0	Nature							1																																																																																														63																				
1277	Cave of Glowing Mushrooms	1	0	0	Glamour								1																																																																																													74																				
1278	Trapped Lights	0	0	1	Fire	1																																																																																																				7																				
1279	Dripping Stones	0	0	1	Water			1																																																																																																		25																				
1280	Trapped Wind	0	0	1	Air		1																																																																																																			16																				
1281	Mineral Deposit	0	0	1	Earth				1																																																																																																	35																				
1282	Spiral Shaft	0	0	1	Astral					1																																																																																																47																				
1283	Cavern Tomb	0	0	1	Death						1																																																																																															54																				
1284	Moss Covered Cavern	0	0	1	Nature							1																																																																																														63																				
1285	Cavern of Dreams	0	0	1	Glamour								1																																																																																													74																				
1286	Cavern of Rubies	2	0	1	Fire	1			1																																																																																																	7										150										
1287	Cavern of Magma	1	0	1	Fire	1			1																																																																																																	7																				
1288	Magma Halls	2	0	2	Fire	2			1																																																																																																	7																				
1289	Dripping Caverns	1	0	1	Water			1																																																																																																		25																				
1290	Mud Caverns	1	0	1	Water			1	1																																																																																																	25																				
1291	Ice Caverns	2	0	0	Water			1																																																																																																		25																				
1292	Stalagmite Cavern	1	0	1	Water			1	1																																																																																																	25																				
1293	Mist Caverns	1	0	1	Water		1	1																																																																																																		25																				
1294	Gold Deposit	0	0	0	Earth																																																																																																					35										100										
1295	Silver Deposit	0	0	0	Earth																																																																																																					35										60										
1296	Copper Deposit	0	0	0	Earth																																																																																																					35										30										
1297	Iron Deposit	0	0	0	Earth																																																																																																					35																				
1298	Hidden Gold Deposit	0	0	1	Earth																																																																																																					35										150										
1299	Hidden Gem Deposits	0	0	1	Earth																																																																																																					35										125										
1300	Mammoth Cave	2	0	0	Earth				2																																																																																																	35																				
1301	Earth Blood Vein	1	0	2	Earth				2																																																																																																	35																				
1302	Crystal Cavern	0	0	1	Earth				1				1																																																																																													35										40										
1303	Crystal Forest	1	0	2	Earth				1	1			1																																																																																													34																				
1304	Glittering Cavern	1	0	2	Earth				1				1																																																																																													35										125										
1305	Buried Temple	2	0	2	Earth					1																																																																																																38																				
1306	Gemwall Cavern	2	0	3	Earth				2																																																																																																	35										150										
1307	Troglodyte Cave	2	0	3	Earth				1																																																																						447																											35																				
1308	The Storm Underneath	2	0	3	Air		3																																																																																																			16																				
1309	Ancient Tomb	1	0	1	Death						1																																																																																															53																				
1310	Opulent Tomb	2	0	2	Death						2																																																																																															53																				
1311	Umbral Cave	2	0	3	Death						1																																																																																															54																				
1312	Caveman Cavern	1	0	1	Nature												40																																																														1615																											63																				
1313	Cavern of Ancient Mushrooms	0	0	0	Nature				1			1																																																																																														63																				
1314	Gemsparkle Gorge	1	0	1	Glamour								1																																																																																													74																				
1315	Gorge of Silent Songs	2	0	2	Glamour								2																																																																																													73																				
1316	Hidden Halls of Crystal	2	0	2	Glamour				1	1			2																																																																																													73																				
1317	The Howling Abyss	1	0	2	Glamour						2		2																																																																																													73																				
1318	Nest of Bats	2	0	1	Blood						1																																																																																															88																				
1319	The Lesser Abyss	2	0	1	Blood													10																																																																																								88																				
1320	Splattermaid Gorge	2	0	2	Blood		1																																																																																																			88																				
1321	Tomb of Seven Oracles	2	0	3	Death				1		2																																																																																															53																				
1322	Infinite Cavern	2	0	3	Earth				2																																															20%																																																		35																				
1323	Riddle Dark	2	0	3	Earth				2		2																																																																																															35																				
1324	The Umbral Conclave	2	0	3	Death						3																																													20%																																																		54																				
1325	Subterranean City	2	0	0	Earth										50	30																																																																																										35																				
1326	The Silent Sea	2	0	2	Water			3																																																																																																		25																				
1327	The Olm Cavern	2	0	2	Water			1	1			1																																																																																														25																				
1328	Halls of Stalagmitic Splendor	2	0	2	Water			2	1																																																																																																	25																				
1329	Halls of Imprisoned Sunlight	2	0	3	Fire	3				1																																																																																																7																				
1330	Undermirks	2	0	2	Nature						1	2																																																																																														63																				
1331	Nexus	5	0	0	Astral					4																																															20%																																																	42																				
1332	The Throne of the Second Age	11	0	0	Holy																			2																																																																																		95				3																
1333	The Throne of War	11	0	0	Holy																			1																																																																																		95																				
1334	The Throne of Night	11	0	0	Holy																			1																																																																																		95												1								
1335	The Throne of Beasts	11	0	0	Holy							2												1																																																																																		95					1															
1336	The Throne of Thorns	11	0	0	Holy							2												1																																																																																		95					1															
1337	The Throne of Flames	11	0	0	Holy	1																		1																																																																																		95																				
1338	The Throne of Ice	11	0	0	Holy			1																1																																																																																		95																				
1339	The Throne of Storms	11	0	0	Holy		1																	1																																																																																		95					1															
1340	The Throne of Might	11	0	0	Holy																			1																																																																																		95																				
1341	The Throne of the Stars	11	0	0	Holy					2														1																		S	2																																																															95				4																
1342	The Throne of Stability	11	0	0	Holy																			1																																																																																		95																				
1343	The Throne of the Deeps	11	0	0	Holy																			1																																																																																		95																				
1344	The Throne of Pearls	11	0	0	Holy					3														1																																																												2805																						95																				
1345	The Throne of Bones	11	0	0	Holy																			1																																																																																		95												1								
1346	The High Throne	11	0	0	Holy																			3																																																																																		95																				
1347	The Throne of Zeal	11	0	0	Holy																			2																																																																																		95																				
1348	The Brass Throne	11	0	0	Holy	1			1						100									1																																																																																		95																				
1349	The Coral Throne	11	0	0	Holy			1				1			100	75								1																																																							577																											95																				
1350	The Throne of Pestilence	11	0	0	Holy						3													1				1																																																																														95												1								
1351	The Lower Throne	11	0	0	Holy									5										1																																																																																		95												1								
1352	The Mirror Throne	11	0	0	Holy								3											1																		B	1																																																															95																				
1353	The Throne of Twilight	11	0	0	Holy								2											1																																																																																		95												1								
1354	The Rainbow Throne	11	0	0	Holy			1					1											1																																																																																		95																				
1355	The Throne of Spring	11	0	0	Holy		1																	1				-1																																																								2543																						95				1																
1356	The Throne of Summer	11	0	0	Holy	1																		1			-1																																																									2544																						95				1																
1357	The Throne of Autumn	11	0	0	Holy				1															1				1																																																								2545																						95				1																
1358	The Throne of Winter	11	0	0	Holy			1																1			1																																																									2546																						95				1																
1359	The Throne of the First Age	12	0	0	Holy																			3																																																																																		95				3																
1360	The Throne of Law	12	0	0	Holy																			1	-1																																																																																	95																				
1361	The Throne of Gaia	12	0	0	Holy							2												2				-2																																																																														95					1															
1362	The Crystal Throne	12	0	0	Holy				1				1											2																																																												340																						95																				
1363	The Iron Throne	12	0	0	Holy											200								2																																																												477																						95																				
1364	The Silver Throne	12	0	0	Holy																			2																																																												100																						95																				
1365	The Golden Throne	12	0	0	Holy																			2																																																												101																						95																				
1366	The Throne of Bureaucracy	12	0	0	Holy																			5	-1																																																																																1	95						1														
1367	The Throne of Knowledge	12	0	0	Holy																			2																																																												479	478																					95																				
1368	The Throne of Life	12	0	0	Holy							3												2				-1																																																																														95																				
1369	The Throne of Death	12	0	0	Holy						5													2				1																																																																														95												1								
1370	The Throne of Fortune	12	0	0	Holy								2											2					-1																																																																													95																				
